,is_esl_wudc2017,wudc2017_avg,eudc2016_avg,is_esl_eudc2016,oxiv2016_avg,is_esl_oxiv2016,is_esl_camiv2016,camiv2016_avg
Jess Pearce,0.0,73.4,,,,,,
Jessica Andriani Liong,1.0,74.3,,,,,,
Jevon Henry,0.0,72.8,,,,,,
Jiaqi Lan,1.0,77.1,,,,,,
Jiaxin Li,1.0,75.0,,,,,,
Jinting Liu,1.0,74.7,,,,,,
Jiwon Kim,1.0,71.2,,,,,,
Joe Goodhart,,,74.3,0.0,,,,
Joe Mayes,,,81.1,0.0,,,,
Joe Roussos,,,,,,,0.0,81.8
Joel Landin,,,72.9,0.0,,,,
Joel Richardson,,,77.9,0.0,,,,
Joey Schnide,0.0,77.8,,,,,,
Johanna Wuehrl,,,72.9,1.0,,,,
Johannes Meiborg,1.0,72.4,,,,,,
Johannes Stark,,,72.9,1.0,,,,
Johannes Volkmann,1.0,74.9,74.6,1.0,,,,
John Hajek,0.0,78.8,,,,,,
John Henry Murdy,0.0,73.8,,,,,,
John Kay,,,,,75.0,0.0,,
John Lutz,0.0,75.9,,,,,,
John Macy,0.0,77.6,,,,,,
John Papantoniou,0.0,82.7,81.8,0.0,82.4,0.0,,
John Templeton Kay,0.0,76.4,,,,,,
Johnny Nguyen,0.0,73.8,,,,,,
Jonah Goldberg,0.0,78.1,,,79.2,0.0,0.0,79.4
Jonas Huggins,1.0,75.2,,,,,,
Jonathan Goldman,0.0,75.1,,,76.2,0.0,,
Jonathan Roberts,,,,,73.8,0.0,,
Jonathan Shapira,1.0,75.6,74.8,1.0,,,,
Joona Suhonen,1.0,74.3,74.2,1.0,,,,
Joonpyo Sohn,0.0,79.9,,,,,,
Jordan Mohler,,,,,76.8,0.0,,
Jordan Pfotenhauer,0.0,77.4,,,,,,
Jordi París Domingo,,,68.7,1.0,,,,
Jos Buijvoets,,,75.6,1.0,,,,
Josef Moscovici,1.0,76.3,76.9,1.0,,,,
Joseph Hills,,,76.4,0.0,74.6,0.0,,
Joseph Lim,,,75.3,0.0,,,,
Josh Azriel Madzivanyika,1.0,72.8,,,,,,
Josh Spiegel,0.0,80.4,,,,,,
Joshua Bailey,,,83.7,0.0,,,,
Joshua Brown,,,,,,,0.0,75.6
Joshua Cahill,0.0,77.8,,,,,,
Joshua Paas,,,75.7,1.0,,,,
Joudy Sarraj,,,,,75.8,0.0,,
Jovan Petronijevic,1.0,78.0,,,,,,
Joyman Lee,,,,,,,0.0,71.6
João Freitas,,,71.0,1.0,,,,
Juho Alasalmi,1.0,72.8,,,,,,
Julia Maskell,,,77.7,0.0,,,,
Julia Milden,0.0,80.2,,,,,,
Julia Slupska,,,77.6,0.0,,,,
Julian Stastny,,,76.1,1.0,,,,
Julian Staudt,,,75.6,1.0,,,,
Julian Vaterrodt,1.0,74.9,74.4,1.0,,,,
Juliette Barnes,0.0,76.2,78.1,0.0,78.0,0.0,0.0,76.4
Jun Ping Lim,0.0,77.8,,,,,,
Junmo Cheon,0.0,74.9,,,,,,
Juozas Kulvietis,,,,,71.6,1.0,,
Jure Hederih,,,,,,,0.0,80.4
Justin Katz,0.0,80.2,,,,,0.0,80.4
Justin Lee,,,,,75.6,1.0,,
Justin Roach,0.0,76.6,,,,,,
Justus Raimann,,,70.1,1.0,,,,
Kaelyn Sabal-Wilson,0.0,72.9,,,,,,
Kail Crystal Cagang Cheng,0.0,74.3,,,,,,
Kandin Maraquin,0.0,75.9,,,,,,
Kanimoli Balakrishnan,,,,,71.8,0.0,,
Kara Meiring,0.0,76.9,,,,,,
Karan Bhuwalka,0.0,79.4,,,,,,
Karl Ilpola,0.0,77.0,,,,,,
Kata Sebök,,,74.9,1.0,,,1.0,74.4
Katarina Kuzman,1.0,74.4,,,,,,
Katarzyna Krzywicka,1.0,73.4,,,,,,
Kate Muldowney,,,,,,,0.0,71.6
Katharin Tai,,,,,,,1.0,76.6
Katharina Jansen,1.0,76.4,,,,,,
Katherine Dunbar,0.0,81.6,81.3,0.0,81.4,0.0,,
Katherine Rizzo,,,,,,,0.0,67.2
Katherine Shen,0.0,75.1,,,,,,
Katherine Tyler,,,77.2,0.0,,,,
Katherine Ziegler,0.0,76.3,,,79.0,0.0,,
Katie Heard,,,82.8,0.0,,,,
Katie McLean,0.0,79.0,79.7,0.0,80.0,0.0,,
Katie Ratcliffe,,,77.0,0.0,,,,
Katie Rooney,,,77.3,0.0,,,,
Katja Schager,,,74.1,1.0,,,,
Katrin Fallmann,1.0,76.9,76.0,1.0,,,,
Katrina Chan,0.0,80.2,,,,,,
Katy Hatter,,,77.3,0.0,,,,
Kayra güler,1.0,76.2,,,,,,
Kazi Ashfaqul Huq,1.0,76.6,,,,,,
Kazuma Tadakoshi,1.0,73.2,,,,,,
Keegan Burrow,0.0,75.4,,,,,,
Keisuke Mizutani,1.0,72.7,,,,,,
Keita Kurita,0.0,76.4,,,,,,
Keith James,0.0,77.4,,,,,,
Keith Matier,0.0,77.1,,,76.6,0.0,0.0,77.0
Kelsea Schulenberg,0.0,76.4,,,,,,
Kelvin Anim,,,78.2,0.0,77.8,0.0,,
Kelvin Ng,0.0,76.3,,,,,,
Kendall Shepherd,0.0,77.8,,,,,,
Kendra Dawson,0.0,72.2,,,,,,
Kenny Loke,0.0,76.2,,,,,,
Keny Arcangeli,0.0,76.6,,,,,,
Kerli Kalk,,,75.9,1.0,,,,
Kevonne Martin,0.0,72.1,,,,,,
Kez Exley,0.0,82.0,82.7,0.0,82.0,0.0,0.0,81.0
Khalil Waddell,0.0,76.4,,,76.6,0.0,0.0,75.4
Kiana Saint-Macary,0.0,77.6,,,,,,
Kiara Hassan,,,,,,,0.0,76.8
Kimberley Brown,0.0,71.4,,,,,,
King Lun Yeung,1.0,76.0,,,,,,
Kit Mercer,0.0,81.4,83.7,0.0,82.8,0.0,,
Kohei Toba,1.0,74.3,,,,,,
Koji Imai,1.0,73.9,,,,,,
Kolten Ellis,,,,,,,0.0,76.0
Konrad Gütschow,1.0,76.8,74.0,1.0,,,,
Konrad Kiljan,1.0,74.9,,,,,,
Konrad Klincewicz,1.0,73.8,,,,,,
Konrad Ksiazek,,,,,76.0,1.0,,
Kristi Ardiana,1.0,74.9,,,,,,
Kristina Georgieva,,,79.4,0.0,,,,
Krzysztof Szymkowiak,,,74.6,1.0,,,,
Ksenia Podvoiskaia,0.0,78.8,,,,,,
Kuan Hian Tan,0.0,78.9,,,,,,
Kun He,1.0,72.7,,,,,,
Kyle Retallick,,,,,73.6,0.0,,
Kyran Brady,,,,,72.6,0.0,,
Kyrylo Kozhemyakin,,,73.3,1.0,,,,
Kyung Tak Woo,1.0,74.4,,,,,,
Kätliin Lember,,,77.4,1.0,,,,
LONG Tianyu,1.0,71.2,,,,,,
LUCKY NOVIA Ekawati,1.0,73.2,,,,,,
Laith Elzubaidi,,,,,,,0.0,68.2
Lamine Kane,,,79.3,1.0,,,,
Lara Hollmann,,,74.2,1.0,,,,
Laura Hogan,0.0,77.8,76.8,0.0,76.2,0.0,,
Laura Martinez,1.0,71.3,,,,,,
Laura Midey,,,,,72.0,1.0,,
Laura Murray,0.0,73.0,,,,,,
Laura Purcell,0.0,79.6,,,,,,
Laura Smith,,,77.4,0.0,,,,
Lauren Pauls,,,,,76.2,0.0,,
Lauren Ringrose,0.0,79.8,,,,,,
Lauris Krasovskis,,,,,,,1.0,71.2
Leah Block,0.0,75.3,,,,,,
Leiditya Naristi,1.0,73.8,,,,,,
Lemuel Daher,0.0,72.9,,,,,,
Leon Langdon,,,,,,,0.0,74.4
Leonard Muenstermann,1.0,76.4,,,,,1.0,75.0
Leuven Ming,0.0,73.8,,,,,,
Lewis Shanahan,,,,,,,0.0,72.6
Li Kun,1.0,76.1,,,,,,
Liam Dennis,0.0,79.7,,,,,,
Liam Tomlinson,0.0,78.4,,,,,,
Lin Mao,1.0,73.9,,,,,,
Linda Xu,,,74.9,0.0,,,0.0,77.0
Linh Nguyen Phan Bao,,,69.4,1.0,,,,
Liron Bronfman,,,76.1,1.0,,,,
Lisa Schallenberg,1.0,79.9,79.6,1.0,79.4,1.0,1.0,81.0
Liyuan Ye,,,,,75.6,1.0,,
Lloyd Lyall,0.0,79.1,,,,,0.0,79.6
Lorelai Avram,,,,,,,1.0,72.4
Lorna Staines,0.0,78.1,,,,,0.0,78.4
Louis Collier,,,79.9,0.0,,,0.0,80.2
Louise Sodergren,,,73.3,0.0,,,,
Lovro Šprem,1.0,74.6,75.4,1.0,,,,
Lucas Li,0.0,79.2,,,,,,
Lucia Arce,,,77.8,1.0,78.8,1.0,1.0,79.6
Lucy Lester,0.0,80.6,,,,,,
Lucy Russell,0.0,75.8,,,,,0.0,75.0
Luis Cerda,1.0,72.1,,,,,,
Luke Kosky,0.0,76.2,76.4,0.0,,,0.0,76.0
Luke Rickmond,0.0,78.9,,,,,,
Luke Schwartzkopff,0.0,76.7,,,,,,
Lydia Day,0.0,79.0,,,,,,
Lydia Papadaki,,,71.4,1.0,,,,
Lydia Papageorgiou-George,0.0,72.8,73.8,0.0,,,,
Lydia Vlagsma,,,73.3,1.0,,,,
M Haris Zamaludin Setiadiputra,1.0,74.6,,,,,,
Maazin Buhari,,,,,,,0.0,77.6
Mackenzie (Yueyi) Tse (Xie),,,76.2,1.0,,,,
Maddy Nash,0.0,79.7,,,,,,
Madi Saken,,,71.9,1.0,,,,
Madison Brown,,,,,,,0.0,77.4
Madison Edwards,0.0,73.4,,,,,,
Madison Immel,,,,,,,0.0,77.2
Madlen Stottmeyer,,,76.8,1.0,,,,
Magdalena Wąwoźna,1.0,74.1,,,,,,
Magzhan Sovetbek,1.0,75.1,,,,,,
Mahirah Marzuki,0.0,74.7,,,78.6,0.0,0.0,76.0
Majid Al-Ansari,0.0,74.3,,,,,,
Malte Westphal,,,74.0,1.0,,,,
Manuel Kralj,,,75.8,1.0,,,,
Manuel Tavares,,,72.2,1.0,,,,
Manyi Li,1.0,74.4,,,,,,
Marc-André Schulz,1.0,76.7,,,78.8,1.0,,
Marcelle Meyer,0.0,76.6,,,,,,
Maria Corredor,1.0,71.1,,,,,,
Maria Epishkina,,,75.0,0.0,,,,
Maria Roussi,,,74.4,1.0,,,,
Mariana Morales,1.0,73.9,,,,,,
Marianna Ibañez,1.0,68.8,,,,,,
Mariella De la Cruz Taboada,1.0,75.1,73.1,1.0,,,,
Marike Breed,,,76.1,1.0,,,,
Marina Shew,0.0,77.6,,,,,,
Marina Tan,0.0,80.8,,,,,0.0,82.2
Mario Alexis Hernando Cubas,1.0,72.6,,,,,,
Marius Hobbhahn,1.0,74.3,74.1,1.0,,,,
Mark Finn,0.0,77.3,,,75.2,0.0,,
Mark Graydon,0.0,72.1,,,,,,
Mark Taylor,0.0,73.7,,,,,,
Marko Mihailović,,,68.7,1.0,,,,
Marko Ćirović,,,76.9,1.0,,,,
Markus Myllymaki,,,73.6,0.0,,,,
Marlynna Blumer,,,,,73.4,0.0,,
Mart Laus,,,73.4,1.0,,,,
Martin Brennecke,1.0,73.3,,,,,,
Martin Regeczy,,,73.8,1.0,,,,
Martin Reinhardt,,,74.0,1.0,,,,
Masahiro Hayashi,1.0,75.0,,,,,,
Masaya Harata,1.0,74.0,,,,,,
Mashiat Rabbani,1.0,76.7,,,,,,
Matei Clej,,,,,71.4,0.0,,
Mateusz Marciniak,1.0,74.4,73.0,1.0,,,,
Mateusz Wójtowicz,1.0,74.7,74.6,1.0,,,,
Matija Milekic,,,72.9,1.0,,,,
Matt Cowley,,,71.8,0.0,,,,
Matt Davis,0.0,81.0,,,,,0.0,80.0
Matt Donaghy,0.0,79.3,,,,,,
Matt Hankin,,,,,79.4,0.0,,
Matt Hazell,0.0,81.0,78.8,0.0,81.4,0.0,,
Matt Karkowski,0.0,78.0,,,,,,
Mattea Roach,0.0,78.6,,,76.8,0.0,0.0,78.2
Matthew Creese,0.0,78.6,,,78.8,0.0,,
Matthew Gallagher,0.0,77.1,,,,,,
Matthew Machera,1.0,73.6,,,,,,
Matthew Parodi,,,,,76.2,0.0,,
Matthew Tuck,,,78.1,0.0,,,,
Matthieu Ostrander,0.0,78.6,,,,,0.0,79.6
Matti Bryder,1.0,76.3,75.7,1.0,78.4,1.0,1.0,76.6
Maura Buchanan,0.0,76.2,,,,,,
Maxim Sivakov,,,69.0,1.0,,,,
Maxime Comtois,1.0,75.7,,,,,,
Maya Chilaeva,,,,,,,0.0,69.2
Md Towhidur Rahman,1.0,74.1,,,,,,
Meaghan McHenry,0.0,74.8,,,,,,
Megan Fennelly,,,76.6,0.0,,,,
Megan Nubel,,,,,76.6,0.0,,
Megan Wilson,0.0,78.7,,,79.0,0.0,,
Megumi Takahashi,1.0,69.9,,,,,,
Mehboob Khan,1.0,74.9,,,,,,
Mehdi Tomas,1.0,75.4,74.3,1.0,76.2,1.0,,
Mehmet Turan Bayraktar,1.0,72.6,,,,,,
Mehrunnisa Jehangir,,,77.1,0.0,,,,
Melanie Sindelar,,,77.2,1.0,,,,
Melda Eren,,,77.1,1.0,78.6,1.0,1.0,79.2
Mert Ulusel,,,70.7,1.0,,,,
Metin Anıl YİĞİT,1.0,71.6,,,,,,
Michael Coleman,,,79.6,0.0,78.8,0.0,,
Michael Cooper,,,,,78.6,0.0,,
Michael Davidson,,,77.4,0.0,,,,
Michael Dobruskin,,,,,70.0,0.0,,
Michael Dunn Goekjian,,,84.7,0.0,,,,
Michael Pusic,0.0,77.9,,,75.6,0.0,0.0,77.0
Michael Rees,0.0,80.9,,,,,,
Michael Wright,0.0,73.8,,,,,,
Michaela Kalcher,,,,,75.6,1.0,,
Mifzal Mohammed,0.0,83.1,,,81.4,0.0,0.0,82.6
Miguel Egea Ferrer,,,70.9,1.0,,,,
Miguel Rabago,1.0,75.8,,,,,,
Mihai Morar,1.0,77.9,,,77.8,1.0,,
Mike Stone,,,,,80.2,0.0,,
Mike Weltevrede,,,72.2,1.0,,,,
Mikhail Shuganov,,,,,72.4,1.0,1.0,76.8
Milka Gerovska,,,76.3,1.0,,,,
Milla Huuskonen,,,75.4,1.0,76.4,1.0,,
Milos Tanasic,1.0,71.3,,,,,,
Miloš Marjanović,1.0,78.6,74.0,1.0,,,,
Miloš Rafailović,,,78.3,1.0,,,,
Mindy Chen,,,,,,,1.0,74.6
Minji Kim,0.0,74.9,,,,,,
Minjun Park,1.0,75.0,,,,,,
Miranda Shen Yan,1.0,77.0,,,,,,
Miraz Murshed Rahman,1.0,75.0,,,,,,
Miri Muntean,1.0,76.4,74.4,1.0,,,,
Miriam Gindis,,,79.4,0.0,,,,
Miriam Kohn,0.0,79.4,,,,,,
Miriam Pierson,0.0,79.8,,,79.2,0.0,,
Mishal Ashraf,0.0,78.7,,,,,,
Mitchell Dorbyk,0.0,79.3,,,,,,
Mitra Darvish,,,75.0,1.0,,,,
Mohammad Ali Hazime,,,,,72.4,0.0,,
Mohammad Iqbal Had,0.0,74.3,,,77.6,0.0,0.0,76.0
Mohvindh Manirajah,,,,,73.4,0.0,,
Molly Dale,0.0,79.9,,,,,,
Monica Forman,,,81.9,1.0,79.8,1.0,1.0,78.6
Moritz Altner,1.0,75.0,,,,,,
Moussa Zekak,0.0,73.9,,,,,,
Mubarrat Wassey,1.0,81.2,,,82.6,1.0,1.0,83.6
Muhammad Afdhal Anugrah Abdillah,1.0,73.6,,,,,,
Muhammad Asadullah Khan,,,82.1,0.0,,,,
Muhammad Rizqi Rianto,1.0,67.9,,,,,,
Muhammad Zain Raza,1.0,74.7,,,,,,
Myat Moe Khaing,1.0,74.4,,,,,,
Méabh McMahon,0.0,78.9,78.0,0.0,77.4,0.0,0.0,79.0
Nadhirah Daud,,,,,,,0.0,80.4
Nadira Masiumova,1.0,72.0,,,,,,
Narayan Kadariya,1.0,70.6,,,,,,
Natasha Miller,,,,,72.2,0.0,,
Nate Urban,0.0,77.1,,,,,,
Nathalia Isaza Ibarra,1.0,74.2,,,,,,
Nathan Chalk,0.0,78.4,,,78.2,0.0,,
Nathan Hernandez,0.0,76.1,,,,,,
Nathan Raab,0.0,79.8,,,,,,
Nathania Engelhardt,1.0,74.4,72.9,1.0,,,,
Nathaniel Carlsen,0.0,78.1,,,,,,
Naz Gocek,0.0,77.6,,,,,0.0,77.2
Neil du Toit,0.0,77.7,,,,,,
Neta Kenneth,,,78.9,1.0,,,,
Niall Graham,,,72.6,0.0,,,,
Niamh Egleston,0.0,78.4,77.3,0.0,76.0,0.0,,
Niamh Quille,,,,,72.4,0.0,,
Nicholas Carverhill,0.0,78.7,,,,,,
Nicholas Liu,0.0,76.6,,,,,,
Nicholas Quah,0.0,80.2,,,,,,
Nicholas Salmon,0.0,80.6,,,,,,
Nicola Harvey,,,77.0,0.0,,,,
Nicolas Berneman,,,69.8,1.0,,,,
Nicolas Eberle,,,75.7,1.0,,,,
Nicolaus Da Silva,0.0,72.2,,,,,,
Nicole Liu,0.0,79.8,77.1,0.0,,,0.0,77.8
Nik Venkatasubramanian,0.0,76.8,,,,,,
Nikolai Bentvelzen IV,,,72.1,0.0,,,,
Nikos Bosse,,,74.6,1.0,,,,
Nishith Hegde,0.0,79.6,,,83.2,0.0,0.0,81.4
Nkahiseng Ralepeli,0.0,76.4,,,,,,
Noa Ovadia,,,80.0,0.0,,,,
Noaem Shurin,,,,,78.0,0.0,,
Noam Dahan,1.0,78.6,78.8,1.0,,,1.0,79.6
Nonhlanhla Masanabo,0.0,76.7,,,,,,
Nora Scheuch,,,74.4,1.0,,,,
Nozipho Makhanda,1.0,73.6,,,,,,
Noémie Gauthier,,,76.2,1.0,,,,
Nursultan Kalybek,,,72.1,1.0,,,,
Ognjen Miladinović,1.0,80.3,76.1,1.0,78.0,1.0,1.0,78.0
Oleksandr Boiev,,,70.9,1.0,,,,
Oleksii Shtyria,,,71.8,1.0,,,,
Olga Kvan,,,,,74.2,1.0,,
Oliver May,0.0,75.1,74.3,0.0,,,,
Olivia Chwat,,,,,73.0,1.0,,
Olle Reberg,1.0,76.7,76.2,1.0,,,1.0,74.4
Orla Heatley,,,72.9,0.0,,,,
Orla Lynch,,,73.6,0.0,,,,
Oskar Lif,1.0,76.0,75.2,1.0,,,,
Oskar Toivonen,,,,,76.0,1.0,,
Osman Aka,0.0,71.4,,,,,,
Owen Mooney,0.0,81.6,81.1,0.0,81.2,0.0,0.0,82.0
Ozan Altan Altınok,,,73.3,1.0,,,,
Paige Franklin,,,76.0,0.0,,,,
Pandu Noer Umaro,1.0,76.6,,,,,,
Paolo Elena,,,74.7,1.0,,,,
Parnian (Penny) Sadeghi,0.0,76.0,76.2,0.0,,,0.0,79.4
Parveen Kaur,0.0,77.6,,,,,,
Patric Flommersfeld,,,70.3,1.0,,,,
Patrice Minto,0.0,71.0,,,,,,
Patrich Lozano,1.0,76.3,,,,,,
Patrick Bell,0.0,77.0,,,,,,
Patrick Braithwaite,,,,,71.8,0.0,,
Patrick Cheang,1.0,77.3,,,77.0,1.0,1.0,78.2
Patrick Holland,0.0,79.9,,,,,,
Patryk Kleparski,,,72.9,0.0,,,,
Paul Reiter,1.0,73.8,,,,,,
Pegah Maham,,,76.9,1.0,,,,
Perly van het Kruys,,,69.9,1.0,,,,
Peter Heath,,,,,70.6,0.0,,
Peter Vicary,0.0,76.6,,,,,,
Petra Vachunova,,,73.8,1.0,,,,
Petros Ioannis Paraskevopoulos,,,,,76.0,1.0,,
Philipp Schirmer,1.0,76.0,70.8,1.0,,,,
Phillip Gracen,0.0,78.4,,,,,,
Pieter van der Veere,1.0,75.3,76.4,1.0,,,,
Pietro Pomella,,,,,75.2,1.0,,
Pini Witchner,1.0,76.4,77.8,1.0,,,,
Pradeepta Adhikari,1.0,70.4,,,,,,
Pragya Malik,0.0,79.4,,,,,,
Pranav Shankar,0.0,76.9,,,,,,
Prince Asamoah,0.0,75.1,,,,,,
Przemyslaw Baran,,,69.7,1.0,,,,
Quirin Blomberg,,,74.6,1.0,,,,
Quito Tsui,0.0,78.1,,,78.0,0.0,0.0,78.6
R. Cara Riantoputra,0.0,80.2,,,,,,
Rachael Mullally,,,,,73.6,0.0,0.0,75.0
Rachael Savage,0.0,76.1,,,,,,
Rachel Gifeisman,,,,,77.2,0.0,,
Rachel Sommers,0.0,76.7,,,,,,
Radko Nedyalkov,1.0,76.4,78.1,1.0,,,1.0,78.0
Radosław Czekan,,,76.3,1.0,,,,
Raffy Marshall,0.0,83.7,82.0,0.0,,,0.0,81.4
Raluca Vacaru,1.0,75.9,76.8,1.0,,,1.0,78.2
Rami Mizrahi,,,74.8,1.0,,,,
Rammi Dgham,,,72.9,0.0,,,,
Raphael Hill,0.0,74.7,,,72.2,0.0,,
Rasmuss Filips Geks,,,76.9,1.0,,,,
Raul Gross,,,74.7,1.0,,,,
Rauno Kiviloo,,,77.7,1.0,,,,
Rawnak Zaheen Wasi,1.0,76.9,,,,,,
Rayne Goddard,,,76.3,0.0,,,,
Razzaq Fazail,0.0,77.8,,,77.2,0.0,0.0,77.2
Rebecca Blair,0.0,78.7,,,79.0,0.0,0.0,78.2
Rebecca Montacute,,,77.6,0.0,,,,
Rebecca Tan,,,,,77.8,0.0,,
Rebekah Ninan,,,,,77.4,0.0,,
Reca Sarfati,0.0,77.7,,,79.4,0.0,0.0,77.8
Rene Kukk,,,,,75.8,1.0,,
Renāte Rozentale,,,,,,,1.0,71.8
Revaldi Nathanael Wirabuana,1.0,77.7,,,,,,
Revian Wirabuana,1.0,73.4,,,,,,
Rhitik Jassar,,,,,71.8,1.0,,
Ria Mazumdar,0.0,76.4,,,,,,
Ricardo Ferreira,,,,,,,0.0,71.8
Richard Breckenridge,,,73.9,0.0,,,,
Richard Ive,,,,,,,0.0,70.4
Richard Ngo,0.0,78.6,,,,,0.0,79.4
Richeal Ní Laoghaire,,,77.1,0.0,,,,
Riky Pahlepi Saputra,1.0,68.9,,,,,,
Rishabh Tagore,0.0,79.8,,,,,,
Rita Chudnovskaya,,,77.3,0.0,,,,
Rob Willoughby,0.0,77.1,,,,,,
Robert Hockema,0.0,77.2,,,,,,
Roberts Remesis,,,,,71.2,1.0,,
Robin Mesarosch,1.0,74.6,,,,,,
Robin Xu,,,,,75.6,0.0,,
Roel Becker,1.0,80.0,77.3,1.0,81.6,1.0,1.0,81.0
Rokas Daugirdas,,,,,73.0,1.0,,
Ronan Mac Giolla Rua,,,76.6,0.0,,,,
Ronan Patrick,,,78.9,0.0,,,,
Rory Flynn,0.0,82.8,,,81.4,0.0,0.0,80.4
Rory O'Sullivan,,,81.9,0.0,,,,
Rosalie Butcher,,,76.8,0.0,,,0.0,74.6
Roshelle Pinnock,0.0,71.9,,,,,,
Rosie Halmi,1.0,74.0,,,,,,
Ross O'Donoghue,,,75.9,0.0,,,,
Roy Schulman,1.0,77.9,,,,,,
Ruben Dillmann,,,75.8,1.0,,,,
Rubin Danberg-Biggs,0.0,79.4,,,,,,
Ruby Holmes,,,81.6,0.0,,,,
Rubén Sánchez,1.0,74.4,,,,,,
Rudolfs Treilis,,,72.6,0.0,,,,
Ryan Cenek,0.0,76.4,,,,,,
Ryan Howson,0.0,78.3,78.7,0.0,79.2,0.0,0.0,78.4
Ryan Murphy,0.0,75.4,,,,,,
Ryan O'Rourke,0.0,79.4,,,,,,
Ryan Tang,,,78.1,0.0,,,,
Ryan Tarte,0.0,79.1,,,77.6,0.0,0.0,81.8
Sabiha Didar Tutan,,,75.2,1.0,,,,
Sabina Piepereit,,,,,72.6,1.0,,
Sabine Wilke,1.0,74.4,74.2,1.0,,,,
Sabir Ikram,,,,,71.8,0.0,,
Sadaf MD Halim,1.0,78.4,,,,,,
Sadhbh Nuanán Ní Dhonnabháin,,,,,74.6,0.0,,
Sadie MacDonald,0.0,80.6,,,,,,
Safwan Jalal,0.0,76.8,,,78.6,0.0,,
Saima Alam,1.0,74.8,,,,,,
Salma Boudina,,,69.8,1.0,,,,
Sam Arnesen,,,,,,,0.0,79.6
Sam Browne,,,80.6,0.0,78.6,0.0,,
Sam Erickson,0.0,78.9,,,,,0.0,77.6
Sam Harrison,,,,,75.0,0.0,,
Sam Maybee,0.0,77.3,,,,,0.0,76.0
Sam Molloy,0.0,80.3,,,,,,
Sam Qiyu Lin,1.0,75.3,,,,,,
Samantha Ball,,,,,71.6,0.0,0.0,72.6
Samantha Johnson- Audini,,,,,,,0.0,75.0
Samo Planinc,,,77.2,1.0,,,,
Samuel Scheuer,1.0,75.1,74.7,1.0,,,,
Samuel Schwartz-Horney,0.0,75.4,,,76.2,0.0,,
Sara Abdul Rahim,1.0,81.3,,,78.2,1.0,1.0,77.4
Sarah Arciszewska,,,,,71.6,1.0,,
Sarah Bostock,0.0,79.0,,,,,,
Sarah Choong,,,,,,,1.0,77.4
Sarah Elton,0.0,78.1,,,,,0.0,76.6
Sarah McClellan,0.0,76.6,,,,,0.0,76.4
Sarah Millman,0.0,78.4,,,76.4,0.0,0.0,78.8
Sarah Osuna,0.0,75.3,,,,,,
Sarah Vickers,0.0,75.8,,,75.0,0.0,,
Sarthak Agrawal,0.0,75.9,,,,,,
Sarthak __Agrawal,,,,,74.0,0.0,0.0,77.0
Saskia Neibig,,,79.2,0.0,,,,
Sean Cosgrove,,,75.0,0.0,,,,
Sebastian Chudek,1.0,73.6,69.8,1.0,,,,
Sebastian Rees,0.0,79.6,,,,,0.0,79.2
Selene Figueroa,,,,,79.8,0.0,,
Selene Gnadenteich,,,73.1,1.0,,,,
Sera Yun,0.0,77.2,,,,,,
Seran Kalyoncu,,,71.2,1.0,,,,
Shaheed Brooks,0.0,78.9,,,78.0,0.0,0.0,77.4
Shahryar Rana,0.0,70.8,,,,,,
Shai Gazit,0.0,73.6,75.2,0.0,,,,
Shayan Shaukat,1.0,69.7,,,,,,
Shemuel Malave,,,,,73.0,0.0,,
Shimon Freedman,,,75.2,0.0,,,,
Shimon Nakayama,1.0,77.0,,,,,,
Shitab Daiyan Akash,1.0,78.2,,,,,,
Shmuel Satat,1.0,72.2,73.6,1.0,,,,
Shotaro Tsunoda,1.0,71.1,,,,,,
Shreya Joshi,1.0,71.9,,,,,,
Shreya Marathe,0.0,76.8,,,,,,
Shuhei Funasugi,1.0,74.4,,,,,,
Shuhei Kosaka,1.0,69.6,,,,,,
Sibylla Jenner,,,73.9,1.0,,,,
Siena Frost,,,,,76.6,0.0,,
Simatupang Noel,1.0,76.1,,,,,,
Simo Ilić,,,68.4,1.0,,,,
Simon Bouthillier,1.0,71.0,,,,,,
Simon Martina Perez,,,78.1,1.0,,,,
Simon Sällström,1.0,74.6,,,75.8,1.0,,
Simon Villa Ramirez,,,72.0,1.0,,,,
Simonas Bartulis,0.0,78.6,,,,,,
Sinan Ozbay,0.0,79.6,,,,,,
Sinan __Ozbay,,,,,,,0.0,78.0
Sissi Li Zhou,1.0,79.7,,,,,,
Sofija Stefanovic,,,73.7,1.0,,,,
SooJung (Sally) Lee,1.0,76.4,,,,,,
Sooyoung Park,1.0,77.7,,,,,,
Sophia Rodriguez,,,75.2,0.0,,,,
Sophie Large,0.0,82.6,81.0,0.0,,,0.0,81.4
Sophie Scharlin-Pettee,0.0,79.8,,,80.8,0.0,0.0,78.8
Srishti Krishnamoorthy,,,,,81.0,0.0,,
Stanisław Stefaniak,,,75.6,1.0,,,,
Stav Lavi,,,74.9,0.0,,,,
Stav Singer,,,81.2,1.0,79.2,1.0,1.0,78.4
Stefan Siridžanski,,,82.7,1.0,,,,
Stefan Torges,,,77.9,1.0,,,,
Steffen Graf,,,72.4,1.0,,,,
Stella Emada Bestio,1.0,78.1,,,,,,
Stepan Lavrouk,0.0,77.8,79.2,0.0,80.4,0.0,,
Stephanie White,0.0,81.0,,,,,,
Stephen Tawiah,,,,,,,0.0,73.4
Sterling Higa,0.0,79.4,,,,,,
Stuart Conlin,,,75.1,0.0,,,,
